
2025/02/12 (18:43:49) | ===> btop++ v.1.3.0
2025/02/12 (18:43:49) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/02/12 (18:43:49) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2025/02/12 (20:35:48) | ===> btop++ v.1.3.0
2025/02/12 (20:35:48) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/02/12 (20:35:48) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2025/02/12 (22:40:07) | ===> btop++ v.1.3.0
2025/02/12 (22:40:07) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/02/12 (22:40:07) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2025/02/13 (18:47:38) | ===> btop++ v.1.3.0
2025/02/13 (18:47:38) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/02/13 (18:47:38) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2025/02/14 (12:22:43) | ===> btop++ v.1.3.0
2025/02/14 (12:22:43) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/02/14 (12:22:43) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2025/02/16 (11:51:21) | ===> btop++ v.1.3.0
2025/02/16 (11:51:21) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/02/16 (11:51:21) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2025/02/16 (12:03:59) | ===> btop++ v.1.3.0
2025/02/16 (12:03:59) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/02/16 (12:03:59) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2025/02/21 (19:33:45) | ===> btop++ v.1.3.0
2025/02/21 (19:33:45) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/02/21 (19:33:45) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2025/02/23 (13:17:34) | ===> btop++ v.1.3.0
2025/02/23 (13:17:34) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/02/23 (13:17:34) | WARNING: NVML: Failed to get GPU power usage: Not Supported
